x, y
19.427011937868212, 6.420454689540161
18.71077731557319, 5.988636355836858
17.87517025622899, 5.6363637841437555
15.869712949507148, 4.72727282907681
14.556616141966268, 4.056818076319598
13.124146897376217, 3.3977272205937314
12.33628990573899, 3.0795454730179697
11.572305215736991, 2.92045351550922
10.044337657211837, 2.7613632919538613
9.733970413771296, 2.8181814766455444
9.328103034916813, 2.954545206603256
10.545703350001425, 2.772727188985206
15.225102518033161, 4.374999823895359
13.864255642785308, 3.7386363287438362
16.514325202459972, 5.09090886431291
17.18280975704803, 5.352272860685335
11.070941344426245, 2.8749996613372284
