throttle,x,y
0.45,8.027492931111288,0.9397
0.45,8.013385074044589,1.013450505050505
0.45,7.999248333071529,1.0872010101010101
0.45,7.985082708192104,1.160951515151515
0.45,7.970888199406319,1.23470202020202
0.45,7.956664806714171,1.3084525252525252
0.45,7.942412530115659,1.3822030303030302
0.45,7.928131369610786,1.4559535353535353
0.45,7.9138213251995495,1.5297040404040403
0.45,7.89948239688195,1.6034545454545452
0.45,7.885114584657989,1.6772050505050504
0.45,7.870717888527665,1.7509555555555554
0.45,7.856292308490978,1.8247060606060606
0.45,7.84183784454793,1.8984565656565655
0.45,7.8273544966985185,1.9722070707070705
0.45,7.812842264942743,2.0459575757575754
0.45,7.798301149280608,2.1197080808080804
0.45,7.783731149712107,2.1934585858585853
0.45,7.769132266237246,2.2672090909090907
0.5007382550335571,8.455099415645348,0.9397
0.5007382550335571,8.44146571870726,1.013450505050505
0.5007382550335571,8.42770347111881,1.0872010101010101
0.5007382550335571,8.413812672879995,1.160951515151515
0.5007382550335571,8.399793323990819,1.23470202020202
0.5007382550335571,8.385645424451278,1.3084525252525252
0.5007382550335571,8.371368974261372,1.3822030303030302
0.5007382550335571,8.356963973421104,1.4559535353535353
0.5007382550335571,8.342430421930468,1.5297040404040403
0.5007382550335571,8.327768319789474,1.6034545454545452
0.5007382550335571,8.312977666998112,1.6772050505050504
0.5007382550335571,8.298058463556389,1.7509555555555554
0.5007382550335571,8.283010709464302,1.8247060606060606
0.5007382550335571,8.26783440472185,1.8984565656565655
0.5007382550335571,8.252529549329031,1.9722070707070705
0.5007382550335571,8.237096143285852,2.0459575757575754
0.5007382550335571,8.221534186592308,2.1197080808080804
0.5007382550335571,8.2058436792484,2.1934585858585853
0.5007382550335571,8.190024621254128,2.2672090909090907
0.5007382550335571,8.17407701260949,2.3409595959595957
0.5007382550335571,8.17407701260949,2.3409595959595957
0.5979865771812081,8.994260234031808,0.9397
0.5979865771812081,8.983920534385383,1.013450505050505
0.5979865771812081,8.973261821629713,1.0872010101010101
0.5979865771812081,8.962284095764794,1.160951515151515
0.5979865771812081,8.950987356790627,1.23470202020202
0.5979865771812081,8.93937160470721,1.3084525252525252
0.5979865771812081,8.92743683951455,1.3822030303030302
0.5979865771812081,8.91518306121264,1.4559535353535353
0.5979865771812081,8.902610269801478,1.5297040404040403
0.5979865771812081,8.889718465281073,1.6034545454545452
0.5979865771812081,8.876507647651417,1.6772050505050504
0.5979865771812081,8.862977816912515,1.7509555555555554
0.5979865771812081,8.849128973064365,1.8247060606060606
0.5979865771812081,8.834961116106967,1.8984565656565655
0.5979865771812081,8.820474246040321,1.9722070707070705
0.5979865771812081,8.805668362864427,2.0459575757575754
0.5979865771812081,8.790543466579285,2.1197080808080804
0.5979865771812081,8.775099557184895,2.1934585858585853
0.5979865771812081,8.759336634681256,2.2672090909090907
0.5979865771812081,8.74325469906837,2.3409595959595957
0.5979865771812081,8.726853750346237,2.414710101010101
0.5979865771812081,8.710133788514856,2.488460606060606
0.5979865771812081,8.693094813574227,2.562211111111111
0.6994630872483222,9.469237680370512,0.9397
0.6994630872483222,9.480031731735323,1.013450505050505
0.6994630872483222,9.490023883896175,1.0872010101010101
0.6994630872483222,9.499214136853062,1.160951515151515
0.6994630872483222,9.50760249060599,1.23470202020202
0.6994630872483222,9.515188945154954,1.3084525252525252
0.6994630872483222,9.521973500499955,1.3822030303030302
0.6994630872483222,9.527956156640993,1.4559535353535353
0.6994630872483222,9.533136913578073,1.5297040404040403
0.6994630872483222,9.537515771311186,1.6034545454545452
0.6994630872483222,9.541092729840338,1.6772050505050504
0.6994630872483222,9.543867789165528,1.7509555555555554
0.6994630872483222,9.545840949286756,1.8247060606060606
0.6994630872483222,9.54701221020402,1.8984565656565655
0.6994630872483222,9.547381571917324,1.9722070707070705
0.6994630872483222,9.546949034426666,2.0459575757575754
0.6994630872483222,9.545714597732044,2.1197080808080804
0.6994630872483222,9.543678261833456,2.1934585858585853
0.6994630872483222,9.540840026730912,2.2672090909090907
0.6994630872483222,9.537199892424404,2.3409595959595957
0.6994630872483222,9.532757858913932,2.414710101010101
0.6994630872483222,9.5275139261995,2.488460606060606
0.6994630872483222,9.521468094281104,2.562211111111111
0.6994630872483222,9.514620363158745,2.635961616161616
0.6994630872483222,9.506970732832423,2.709712121212121
0.6994630872483222,9.498519203302143,2.783462626262626
0.6994630872483222,9.489265774567896,2.857213131313131
0.8009395973154363,10.344160585729787,0.9397
0.8009395973154363,10.354859579332615,1.013450505050505
0.8009395973154363,10.364745388117946,1.0872010101010101
0.8009395973154363,10.373818012085776,1.160951515151515
0.8009395973154363,10.3820774512361,1.23470202020202
0.8009395973154363,10.389523705568926,1.3084525252525252
0.8009395973154363,10.396156775084249,1.3822030303030302
0.8009395973154363,10.401976659782074,1.4559535353535353
0.8009395973154363,10.406983359662393,1.5297040404040403
0.8009395973154363,10.41117687472521,1.6034545454545452
0.8009395973154363,10.414557204970526,1.6772050505050504
0.8009395973154363,10.417124350398344,1.7509555555555554
0.8009395973154363,10.41887831100866,1.8247060606060606
0.8009395973154363,10.419819086801473,1.8984565656565655
0.8009395973154363,10.419946677776784,1.9722070707070705
0.8009395973154363,10.41926108393459,2.0459575757575754
0.8009395973154363,10.417762305274902,2.1197080808080804
0.8009395973154363,10.415450341797706,2.1934585858585853
0.8009395973154363,10.41232519350301,2.2672090909090907
0.8009395973154363,10.408386860390813,2.3409595959595957
0.8009395973154363,10.403635342461113,2.414710101010101
0.8009395973154363,10.398070639713913,2.488460606060606
0.8009395973154363,10.39169275214921,2.562211111111111
0.8009395973154363,10.384501679767013,2.635961616161616
0.8009395973154363,10.376497422567303,2.709712121212121
0.8009395973154363,10.367679980550095,2.783462626262626
0.8009395973154363,10.358049353715389,2.857213131313131
0.8009395973154363,10.34760554206318,2.9309636363636358
0.8009395973154363,10.336348545593474,3.0047141414141407
0.8009395973154363,10.324278364306258,3.0784646464646457
0.8009395973154363,10.311394998201543,3.1522151515151515
0.8981879194630873,12.244951329163005,0.9397
0.8981879194630873,12.261375525544423,1.013450505050505
0.8981879194630873,12.276818674845408,1.0872010101010101
0.8981879194630873,12.291280777065946,1.160951515151515
0.8981879194630873,12.30476183220604,1.23470202020202
0.8981879194630873,12.317261840265695,1.3084525252525252
0.8981879194630873,12.328780801244907,1.3822030303030302
